site	brand	status	first_seen_date	last_seen_date	days_seen	times_seen	ad_score	ad_reason	src	src_open	landing_url	landing_open	screenshot_path	screenshot_file
news.mn	Facebook	ИДЭВХТЭЙ	2025-10-10	2025-10-13	2	14	9	large,std_size,ad_host/path,external_click,ad_word	https://news.mn/wp-content/uploads/2025/10/News.mn-banner-copy-scaled.jpg	https://news.mn/wp-content/uploads/2025/10/News.mn-banner-copy-scaled.jpg	https://www.facebook.com/share/p/1BtjnPoPei/	https://www.facebook.com/share/p/1BtjnPoPei/	C:\Scraper\banner_screenshots\2025-10-10\news_1760080649_5_027cd764.png	file:///C:/Scraper/banner_screenshots/2025-10-10/news_1760080649_5_027cd764.png
news.mn	khanbank	ИДЭВХТЭЙ	2025-10-10	2025-10-13	2	18	6	large,std_size,external_click,ad_word	https://news.mn/wp-content/uploads/2025/09/2.-News-copy.jpg	https://news.mn/wp-content/uploads/2025/09/2.-News-copy.jpg	https://www.khanbank.com/personal/news/intelligence/7657/	https://www.khanbank.com/personal/news/intelligence/7657/	C:\Scraper\banner_screenshots\2025-10-10\news_1760080650_19_a319ba97.png	file:///C:/Scraper/banner_screenshots/2025-10-10/news_1760080650_19_a319ba97.png
news.mn	tdbm	ИДЭВХТЭЙ	2025-10-10	2025-10-13	2	18	6	large,std_size,external_click,ad_word	https://news.mn/wp-content/uploads/2025/09/britto-News.mn-300x245-1.jpg	https://news.mn/wp-content/uploads/2025/09/britto-News.mn-300x245-1.jpg	https://www.tdbm.mn/mn/news/brittobeleg	https://www.tdbm.mn/mn/news/brittobeleg	C:\Scraper\banner_screenshots\2025-10-10\news_1760080651_62_d480f558.png	file:///C:/Scraper/banner_screenshots/2025-10-10/news_1760080651_62_d480f558.png
news.mn	koreanair	ИДЭВХТЭЙ	2025-10-10	2025-10-13	2	18	6	large,std_size,external_click,ad_word	https://news.mn/wp-content/uploads/2025/04/250429_SELCXA-ULNSM-웹-배너_1920x280px.jpg	https://news.mn/wp-content/uploads/2025/04/250429_SELCXA-ULNSM-웹-배너_1920x280px.jpg	https://www.koreanair.com/	https://www.koreanair.com/	C:\Scraper\banner_screenshots\2025-10-10\news_1760080659_6_5d66d2ef.png	file:///C:/Scraper/banner_screenshots/2025-10-10/news_1760080659_6_5d66d2ef.png
news.mn	golomtbank	ИДЭВХТЭЙ	2025-10-10	2025-10-13	2	18	6	large,std_size,external_click,ad_word	https://news.mn/wp-content/uploads/2025/09/300-250-1.png	https://news.mn/wp-content/uploads/2025/09/300-250-1.png	https://www.golomtbank.com/%D1%85%D0%B0%D0%B4%D0%B3%D0%B0%D0%BB%D0%B0%D0%BC%D0%B6%D1%82%D0%B0%D0%B9-%D0%B0%D1%8F%D0%BB%D0%B0%D0%BB-1-3	https://www.golomtbank.com/%D1%85%D0%B0%D0%B4%D0%B3%D0%B0%D0%BB%D0%B0%D0%BC%D0%B6%D1%82%D0%B0%D0%B9-%D0%B0%D1%8F%D0%BB%D0%B0%D0%BB-1-3	C:\Scraper\banner_screenshots\2025-10-10\news_1760080659_20_882d8764.png	file:///C:/Scraper/banner_screenshots/2025-10-10/news_1760080659_20_882d8764.png
news.mn	mn	ИДЭВХТЭЙ	2025-10-10	2025-10-13	2	18	4	large,std_size,ad_word	https://news.mn/wp-content/uploads/2025/10/news-APT.jpg	https://news.mn/wp-content/uploads/2025/10/news-APT.jpg	https://news.mn/#	https://news.mn/#	C:\Scraper\banner_screenshots\2025-10-10\news_1760080660_63_a5e6d8af.png	file:///C:/Scraper/banner_screenshots/2025-10-10/news_1760080660_63_a5e6d8af.png
news.mn	khanbank	ИДЭВХТЭЙ	2025-10-10	2025-10-13	2	18	6	large,std_size,external_click,ad_word	https://news.mn/wp-content/uploads/2025/10/2.-News-copy.jpg	https://news.mn/wp-content/uploads/2025/10/2.-News-copy.jpg	https://www.khanbank.com/personal/news/intelligence/7719/?fbclid=IwZXh0bgNhZW0CMTAAYnJpZBExUVIxWXpUS1BzN0ZKazV2VgEez-kHbFeNbjSn0eGOkDsapuYRMlsOBPPLT9ZyNtn-whQeUttGL-SjQF3q6lA_aem_KpzcYpYpcIqXK05RXNLZcw	https://www.khanbank.com/personal/news/intelligence/7719/?fbclid=IwZXh0bgNhZW0CMTAAYnJpZBExUVIxWXpUS1BzN0ZKazV2VgEez-kHbFeNbjSn0eGOkDsapuYRMlsOBPPLT9ZyNtn-whQeUttGL-SjQF3q6lA_aem_KpzcYpYpcIqXK05RXNLZcw	C:\Scraper\banner_screenshots\2025-10-10\news_1760080676_21_3e6134cc.png	file:///C:/Scraper/banner_screenshots/2025-10-10/news_1760080676_21_3e6134cc.png
bolor-toli.com	banner	ИДЭВХТЭЙ	2025-10-10	2025-10-13	2	11	6	large,ad_host/path,external_click	https://banner.bolor.net/files/39/176000355613.png	https://banner.bolor.net/files/39/176000355613.png	https://banner.bolor.net/pub/jump?t=9d7e5e05b41a98fae00c9c5dd2374b6c	https://banner.bolor.net/pub/jump?t=9d7e5e05b41a98fae00c9c5dd2374b6c	C:\Scraper\banner_screenshots\2025-10-10\bolortoli_1760080692_0_768ad86f.png	file:///C:/Scraper/banner_screenshots/2025-10-10/bolortoli_1760080692_0_768ad86f.png
bolor-toli.com	banner	ИДЭВХТЭЙ	2025-10-10	2025-10-13	2	12	6	large,ad_host/path,external_click	https://banner.bolor.net/files/37/175946518913.png	https://banner.bolor.net/files/37/175946518913.png	https://banner.bolor.net/pub/jump?t=2b2e518b872b6c6503324cb4eb3ff3b1	https://banner.bolor.net/pub/jump?t=2b2e518b872b6c6503324cb4eb3ff3b1	C:\Scraper\banner_screenshots\2025-10-10\bolortoli_1760080700_0_56ee9faf.png	file:///C:/Scraper/banner_screenshots/2025-10-10/bolortoli_1760080700_0_56ee9faf.png
gogo.mn	gogo	ИДЭВХТЭЙ	2025-10-10	2025-10-13	2	10	4	large,ad_host/path	https://edge.boost.mn/67e3d390bbe407d318e482f1/creative_converted/2b62cea9-f6f6-473f-a714-9558d3c805ed/68e61b64d45433074edd6424_compressed.webp	https://edge.boost.mn/67e3d390bbe407d318e482f1/creative_converted/2b62cea9-f6f6-473f-a714-9558d3c805ed/68e61b64d45433074edd6424_compressed.webp	https://gogo.mn	https://gogo.mn	C:\Scraper\banner_screenshots\2025-10-10\gogo_1760080650_26_05c3810b.png	file:///C:/Scraper/banner_screenshots/2025-10-10/gogo_1760080650_26_05c3810b.png
