site	brand	banner_key	phash	src	landing_url	width	height	first_seen_ts_utc	last_seen_ts_utc	first_seen_date	last_seen_date	days_seen	times_seen	screenshot_path	notes	is_ad	ad_score	ad_reason	ad_id
caak.mn	univision	caak.mn:3ec669acf524a00d	b229c50bb4720df7	https://graph.caak.mn/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBN3BkQlE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--139bc396ae2a75d431f6ae47a64b02430cb290f9/00.jpg	https://univision.mn/promotion/980	422	520	2025-10-21T04:13:26+00:00	2025-10-21T09:57:36+00:00	2025-10-21	2025-10-21	1	5	C:\UNITEL_Website\Scraper\banner_screenshots\2025-10-21\caak_1761019853_1_4e1feaa8.png	onpage	1	3	large,external_click	3ec669acf524a00d
ikon.mn	golomtbank	ikon.mn:2e8d4d57679320f0	aa55aac2f5ca9946	https://content.ikon.mn/raw/2025/10/22/18328/unnamed.png	https://www.golomtbank.com/%D1%85%D0%B0%D0%B4%D0%B3%D0%B0%D0%BB%D0%B0%D0%BC%D0%B6%D1%82%D0%B0%D0%B9-%D0%B0%D1%8F%D0%BB%D0%B0%D0%BB-1-3	1280	720	2025-10-22T08:08:04+00:00	2025-10-27T06:08:22+00:00	2025-10-22	2025-10-27	3	4	C:\UNITEL_Website\Scraper\banner_screenshots\2025-10-22\ikon_1761120477_2_ca2b2099.png	from_ad_page:https://ikon.mn/ad/IKONMN_B1?1761119875	1	4	banner_note,large,external_click	2e8d4d57679320f0
caak.mn	Facebook	caak.mn:048dda2f294929eb	85abafad915256d0	https://graph.caak.mn/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBNnFQQlE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--3769282f3690acf0f7fdfc7c98dabff730a3e50c/banner.jpg	https://www.facebook.com/reel/817306938137351	422	520	2025-10-27T02:29:25+00:00	2025-10-27T06:12:38+00:00	2025-10-27	2025-10-27	1	2	C:\UNITEL_Website\Scraper\banner_screenshots\2025-10-27\caak_1761532006_1_26a5d085.png	onpage	1	6	large,ad_host/path,external_click	048dda2f294929eb
ikon.mn	zangia	ikon.mn:5fba6778f4629444	c413e75b1463d936	https://content.ikon.mn/raw/2025/10/23/18329/1._Ikon_560x400.jpg	https://www.zangia.mn/	1280	720	2025-10-27T06:08:22+00:00	2025-10-27T06:08:22+00:00	2025-10-27	2025-10-27	1	1	C:\UNITEL_Website\Scraper\banner_screenshots\2025-10-27\ikon_1761545294_2_2df32304.png	from_ad_page:https://ikon.mn/ad/IKONMN_B1?1761544764	1	4	banner_note,large,external_click	5fba6778f4629444
caak.mn	khanbank	caak.mn:79506c8a7b4e35cf	fa45987bc218a7c3	https://graph.caak.mn/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeWFQQlE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--bf6db297535f2a010896ac974ced3cda119e2573/khanbank%20a2%2010sars.jpg	https://www.khanbank.com/personal/news/intelligence/7775/	422	520	2025-10-27T06:12:38+00:00	2025-11-12T05:51:59+00:00	2025-10-27	2025-11-12	9	13	C:\UNITEL_Website\Scraper\banner_screenshots\2025-10-27\caak_1761545398_2_a0002d05.png	onpage	1	3	large,external_click	79506c8a7b4e35cf
ikon.mn	ly	ikon.mn:fc578be3dd4f1363	9a1fc64fcde1e180	https://content.ikon.mn/raw/2025/11/4/18379/560_400__1_.jpg	https://bit.ly/tdb-MA2025?fbclid=IwZXh0bgNhZW0CMTAAYnJpZBExZG02Z2xxQUxYR3RSUE5KTAEer-uqbDGwYkFvy8Q08Nj6UxoEgvj2_Q53jpCO5t2osfGSTgbLHZfATIf75-c_aem_xX-j49AXTAqDC-6lnrycwA	1280	720	2025-11-04T04:06:17+00:00	2025-11-18T03:07:07+00:00	2025-11-04	2025-11-18	11	17	C:\UNITEL_Website\Scraper\banner_screenshots\2025-11-04\ikon_1762229148_1_35f79b2d.png	from_ad_page:https://ikon.mn/ad/IKONMN_B1?1762228704	1	4	banner_note,large,external_click	fc578be3dd4f1363
ikon.mn	ly	ikon.mn:8d5f2e09b2e9a0a7	aa5235dfc91b3426	https://content.ikon.mn/raw/2025/10/30/18346/Ikon.mn_280x200__5__copy.png	https://bit.ly/tdb-MA2025?fbclid=IwZXh0bgNhZW0CMTAAYnJpZBExZG02Z2xxQUxYR3RSUE5KTAEer-uqbDGwYkFvy8Q08Nj6UxoEgvj2_Q53jpCO5t2osfGSTgbLHZfATIf75-c_aem_xX-j49AXTAqDC-6lnrycwA	1280	720	2025-11-04T04:06:17+00:00	2025-11-10T02:45:46+00:00	2025-11-04	2025-11-10	6	12	C:\UNITEL_Website\Scraper\banner_screenshots\2025-11-04\ikon_1762229157_2_2b8e99e4.png	from_ad_page:https://ikon.mn/ad/IKONMN_B1?1762228704	1	4	banner_note,large,external_click	8d5f2e09b2e9a0a7
news.mn	news	news.mn:d8026944c2779e6b	8d160b7872b51f5a	https://news.mn/wp-content/uploads/2025/10/IMG_6324-scaled.jpeg	https://news.mn/#	970	142	2025-11-04T04:07:00+00:00	2025-11-19T04:27:01+00:00	2025-11-04	2025-11-19	12	21	C:\UNITEL_Website\Scraper\banner_screenshots\2025-11-04\news_1762229141_5_167ecfe9.png	video_poster	1	4	large,std_size,ad_word	d8026944c2779e6b
news.mn	ly	news.mn:7393d0874cddab69	a85615cbc99335f2	https://news.mn/wp-content/uploads/2025/10/News.mn-300x245-1.png	https://bit.ly/tdb-MA2025?fbclid=IwZXh0bgNhZW0CMTAAYnJpZBExZG02Z2xxQUxYR3RSUE5KTAEer-uqbDGwYkFvy8Q08Nj6UxoEgvj2_Q53jpCO5t2osfGSTgbLHZfATIf75-c_aem_xX-j49AXTAqDC-6lnrycwA	299	243	2025-11-04T04:07:00+00:00	2025-11-19T04:27:01+00:00	2025-11-04	2025-11-19	12	21	C:\UNITEL_Website\Scraper\banner_screenshots\2025-11-04\news_1762229173_20_767f822f.png	video_poster	1	6	large,std_size,external_click,ad_word	7393d0874cddab69
bolor-toli.com	bolor	bolor-toli.com:d49b9d2e0f37a624	a7184f64644f4bb5	https://banner.bolor.net/files/37/176187722513.png	https://banner.bolor.net/pub/jump?t=d91f9cfe9003d2e218bb1ea8463b72ae	1600	579	2025-11-04T04:07:12+00:00	2025-11-19T04:26:44+00:00	2025-11-04	2025-11-19	8	17	C:\UNITEL_Website\Scraper\banner_screenshots\2025-11-04\bolortoli_1762229206_0_dc08ebf8.png	onpage	1	6	large,ad_host/path,external_click	d49b9d2e0f37a624
news.mn	golomtbank	news.mn:e8e2fdafca04c3a6	e531f03af213cf81	https://news.mn/wp-content/uploads/2025/11/300.jpg	https://www.golomtbank.com/news/50915	299	299	2025-11-05T10:39:59+00:00	2025-11-18T07:23:19+00:00	2025-11-05	2025-11-18	10	15	C:\UNITEL_Website\Scraper\banner_screenshots\2025-11-05\news_1762339164_12_63744233.png	video_poster	1	4	large,external_click,ad_word	e8e2fdafca04c3a6
ikon.mn		ikon.mn:f91e050f18a7295f	c593c645b833e94e	https://content.ikon.mn/raw/2025/11/7/18409/1360x200.jpg		1280	720	2025-11-08T13:28:18+00:00	2025-11-19T04:26:46+00:00	2025-11-08	2025-11-19	6	9	C:\UNITEL_Website\Scraper\banner_screenshots\2025-11-08\ikon_1762608471_1_79d16520.png	from_ad_page:https://ikon.mn/ad/IKONMN_A2?1762608431	0	2	banner_note,large	f91e050f18a7295f
